NombreJugador,EdadJugador,EquipoJugador
Alisson Becker,32,Brasil
Éder Militão,25,Brasil
Thiago Silva,40,Brasil
Marquinhos,29,Brasil
Alex Sandro,33,Brasil
Casemiro,31,Brasil
Bruno Guimarães,25,Brasil
Lucas Paquetá,25,Brasil
Fred,30,Brasil
Vinícius Jr.,24,Brasil
Rodrygo,22,Brasil
Marko Dmitrović,33,Serbia
Strahinja Pavlović,23,Serbia
Miloš Veljković,29,Serbia
Filip Mladenović,32,Serbia
Strahinja Eraković,23,Serbia
Nikola Milenković,27,Serbia
Dušan Tadić,35,Serbia
Filip Kostić,31,Serbia
Sergej Milinković‑Savic,29,Serbia
Luka Jović,26,Serbia
Aleksandar Mitrović,30,Serbia
Yann Sommer,38,Suiza
Manuel Akanji,29,Suiza
Fabian Schär,34,Suiza
Ricardo Rodríguez,35,Suiza
Silvan Widmer,33,Suiza
Gran it Xhaka,32,Suiza
Remo Freuler,32,Suiza
Xherdan Shaqiri,33,Suiza
Breel Embolo,27,Suiza
David Ondo Epassy,31,Camerun
Henri Bedimo Fai,29,Camerun
Basile Wooh,–,Camerun
Nicolas N’Koulou,32,Camerun
Brice Tolo,27,Camerun
Andre‑Frank Zambo Anguissa,27,Camerun
Felix‑Alexander Kunde,28,Camerun
Georges‑Kevin N’Kamu Ngamaleu,26,Camerun
Bryan Mbeumo,25,Camerun
Vincent Aboubakar,31,Camerun
Eric Maxim Choupo‑Moting,34,Camerun
Diogo Costa,26,Portugal
Diogo Dalot,25,Portugal
Pepe,41,Portugal
Rúben Dias,26,Portugal
Raphaël Guerreiro,31,Portugal
Bernardo Silva,30,Portugal
Rúben Neves,28,Portugal
Otávio,30,Portugal
Bruno Fernandes,30,Portugal
João Félix,24,Portugal
Gonçalo Ramos,24,Portugal
Lawrence Ati-Zigi,27,Ghana
Tariq Lamptey,23,Ghana
Daniel Amartey,31,Ghana
Mohammed Salisu,25,Ghana
Gideon Mensah,27,Ghana
Thomas Partey,31,Ghana
Salis Abdul Samed,25,Ghana
Mohammed Kudus,24,Ghana
André Ayew,33,Ghana
Iñaki Williams,30,Ghana
Jordan Ayew,33,Ghana
Sergio Rochet,31,Uruguay
José María Giménez,30,Uruguay
Sebastián Coates,33,Uruguay
Diego Godín,38,Uruguay
Ronald Araújo,25,Uruguay
Rodrigo Bentancur,27,Uruguay
Federico Valverde,26,Uruguay
Lucas Torreira,29,Uruguay
Luis Suárez,38,Uruguay
Darwin Núñez,25,Uruguay
Edinson Cavani,37,Uruguay
Kim Seung‑gyu,35,Corea Del Sur
Kim Min‑jae,27,Corea Del Sur
Kim Young‑gwon,35,Corea Del Sur
Kim Jin‑su,33,Corea Del Sur
Kwon Kyung‑won,32,Corea Del Sur
Hwang In‑beom,29,Corea Del Sur
Kwon Chang‑hoon,29,Corea Del Sur
Paik Seung‑ho,27,Corea Del Sur
Cho Gue‑sung,26,Corea Del Sur
Son Heung‑min,32,Corea Del Sur
Lee Jae‑sung,31,Corea Del Sur
